Id,ExecTime,l2Miss,tlbMiss
7,4925054,112,5
8,4328757,9877,31
9,6458189,816,11
0,4019162,515,9
1,4052514,682,16
2,3615514,479,19
3,3664811,108,4
4,6453594,1000,29
5,4566838,1287,19
6,3945487,4764,8
7,4924973,129,5
8,4329054,9877,31
9,6460027,851,11
0,4020297,534,9
1,4046946,669,16
2,3613756,450,19
3,3664433,104,4
4,6454973,1003,29
5,4568649,1292,19
6,3945594,4765,8
7,4925081,128,5
8,4329081,9877,31
9,6459838,845,11
0,4019486,530,9
1,4046378,667,16
2,3615486,478,19
3,3662460,107,4
4,6456217,1023,29
5,4564838,1265,19
6,3945811,4770,8
7,4924919,113,5
8,4329270,9877,31
9,6460081,881,11
0,4020865,539,9
1,4042892,682,16
2,3615135,474,19
3,3662405,108,5
4,6453784,995,29
5,4570811,1294,19
6,3945351,4765,8
7,4925000,111,5
8,4329135,9877,31
9,6458406,889,11
0,4019946,517,9
1,4052649,672,16
2,3614163,448,19
3,3662162,104,4
4,6459108,1026,29
5,4566594,1282,19
6,3945946,4766,8
7,4925513,128,5
8,4329108,9879,31
9,6458081,810,11
0,4026486,619,9
1,4052540,703,17
2,3618162,542,19
3,3662757,119,4
4,6456946,1047,29
5,4572919,1341,19
6,3946460,4780,8
7,4925108,135,5
8,4329081,9881,31
9,6462487,1142,11
0,4025648,603,9
1,4041811,692,16
2,3615378,485,19
3,3662297,109,5
4,6455676,1022,29
5,4569243,1296,19
6,3945351,4771,8
7,4924973,128,5
8,4328973,9874,31
9,6461082,902,11
0,4019487,531,9
1,4045216,673,16
2,3663784,455,19
3,3664865,112,5
4,6456946,1005,29
5,4566811,1288,19
6,3945865,4781,8
7,4925648,116,5
8,4329000,9873,31
9,6460675,921,11
0,4015919,492,9
1,4044622,659,16
2,3615460,473,19
3,3662135,109,4
4,6457405,1008,29
5,4564351,1258,19
6,3946027,4781,8
7,4925081,130,5
8,4329135,9874,31
9,6459675,818,11
0,4019027,520,9
1,4044730,684,16
2,3615676,477,19
3,3664729,113,4
4,6453730,990,29
5,4564865,1277,19
6,3945919,4783,8
7,4925487,113,5
8,4328675,9873,31
9,6460487,840,11
0,4017000,491,9
1,4044918,676,16
2,3663594,450,19
3,3664594,105,5
4,6455270,1001,29
5,4567568,1285,19
6,3945270,4780,8
7,4925162,113,5
8,4328756,9872,31
9,6458675,819,11
0,4017541,515,9
1,4054946,673,16
2,3615378,478,19
3,3662351,109,4
4,6455243,1004,29
5,4565946,1278,19
6,3945675,4778,8
7,4925324,132,5
8,4328810,9870,31
9,6458811,828,11
0,4016730,494,9
1,4043865,683,16
2,3664622,475,19
3,3662351,107,5
4,6452271,984,29
5,4564324,1243,19
6,3946433,4778,8
7,4925108,112,5
8,4329108,9869,31
9,6458973,829,11
0,4028270,637,9
1,4047298,718,16
2,3616216,513,19
3,3662513,121,4
4,6456892,1036,29
5,4572081,1330,19
6,3946027,4794,8
7,4925622,140,5
8,4328892,9880,31
9,6462541,1149,11
0,4024487,599,9
1,4050378,665,16
2,3616352,489,19
3,3664729,114,5
4,6458459,1035,29
5,4564865,1260,19
6,3946081,4792,8
7,4925621,134,5
8,4328675,9879,31
9,6459027,928,11
0,4019837,535,9
1,4042730,677,16
2,3615622,485,19
3,3662243,106,4
4,6455730,999,29
5,4563946,1270,19
6,3945297,4770,8
7,4925352,112,5
8,4328378,9878,31
9,6458271,821,11
0,4017081,512,9
1,4049108,671,16
2,3614081,459,19
3,3662054,101,5
4,6454432,1011,29
5,4563513,1257,19
6,3945189,4768,8
7,4925325,110,5
8,4328676,9875,31
9,6457973,777,11
0,4017460,525,9
1,4037297,645,16
2,3615892,488,19
3,3662270,108,4
4,6454352,1009,29
5,4562568,1246,19
6,3945648,4768,8
7,4924973,113,5
8,4328784,9874,31
9,6458811,788,11
0,4016864,511,9
1,4045216,674,16
2,3616000,485,19
3,3664595,107,5
4,6455406,1004,29
5,4563405,1253,19
